Местное время в Вене / Швехате (аэропорт);T;P0;P;U;DD;Ff;ff10;WW;W'W';c;VV;Td;;;
07.11.2023 23:50;9.0;745.3;762.0;82;Ветер, дующий с западо-северо-запада;4;;Слабый(ая)(ые) ливень (ливни), дождь;;Незначительная (10-30%) 1200 м, кучевые мощные большой вертикальной протяженности , рассеянная (40-50%) 1440 м, разорванная (60-90%) 1500 м;10.0 и более;6.0;;;
07.11.2023 23:20;9.0;745.3;762.0;82;Ветер, дующий с запада;5;;Слабый(ая)(ые) ливень (ливни), дождь;Ливень (ливни), дождь;Незначительная (10-30%) 1200 м, кучево-дождевые облака , разорванная (60-90%) 1440 м;10.0 и более;6.0;;;
07.11.2023 22:50;9.0;745.3;762.0;87;Ветер, дующий с северо-запада;4;;Слабый(ая)(ые) ливень (ливни), дождь;;Незначительная (10-30%) 1200 м, кучевые мощные большой вертикальной протяженности , разорванная (60-90%) 1500 м;10.0 и более;7.0;;;
07.11.2023 22:20;9.0;745.3;762.0;87;Ветер, дующий с запада;2;;;;Незначительная (10-30%) 660 м, незначительная (10-30%) 1200 м, кучевые мощные большой вертикальной протяженности , рассеянная (40-50%) 1500 м;10.0 и более;7.0;;;
07.11.2023 21:50;9.0;745.3;762.0;87;Ветер, дующий с северо-северо-запада;2;;;;Незначительная (10-30%) 1200 м, незначительная (10-30%) 1200 м, кучевые мощные большой вертикальной протяженности , рассеянная (40-50%) 1500 м;10.0 и более;7.0;;;
07.11.2023 21:20;9.0;745.3;762.0;87;Ветер, дующий с севера;2;;;;Незначительная (10-30%) 1050 м, разорванная (60-90%) 1260 м, разорванная (60-90%) 1500 м;10.0 и более;7.0;;;
07.11.2023 20:50;9.0;745.3;762.0;87;Ветер, дующий с северо-северо-запада;3;;Вблизи ливень (ливни);Ливень (ливни), дождь;Незначительная (10-30%) 840 м, разорванная (60-90%) 960 м;10.0 и более;7.0;;;
07.11.2023 20:20;9.0;745.3;762.0;87;Ветер, дующий с западо-северо-запада;5;;Ливень (ливни), дождь;;Незначительная (10-30%) 780 м, рассеянная (40-50%) 840 м, разорванная (60-90%) 960 м;10.0 и более;7.0;;;
07.11.2023 19:50;10.0;745.4;762.0;88;Ветер, дующий с западо-северо-запада;4;;Слабый(ая)(ые) ливень (ливни), дождь;Ливень (ливни), дождь;Незначительная (10-30%) 780 м, разорванная (60-90%) 900 м;10.0 и более;8.0;;;
07.11.2023 19:20;10.0;745.4;762.0;88;Ветер, дующий с западо-северо-запада;6;;Ливень (ливни), дождь;;Незначительная (10-30%) 660 м, разорванная (60-90%) 840 м;10.0 и более;8.0;;;
07.11.2023 18:50;10.0;744.6;761.2;82;Ветер, дующий с северо-запада;4;;Слабый(ая)(ые) дождь;;Незначительная (10-30%) 720 м, рассеянная (40-50%) 1080 м, разорванная (60-90%) 1260 м;10.0 и более;7.0;;;
07.11.2023 18:20;10.0;744.6;761.2;82;Переменное направление;1;;;;Незначительная (10-30%) 1260 м;10.0 и более;7.0;;;
07.11.2023 17:50;10.0;744.6;761.2;82;Ветер, дующий с востока;1;;;;Незначительная (10-30%) 1320 м, разорванная (60-90%) 1440 м;10.0 и более;7.0;;;
07.11.2023 17:20;11.0;744.6;761.2;77;Ветер, дующий с юго-востока;2;;;;Незначительная (10-30%) 1380 м, разорванная (60-90%) 1500 м;10.0 и более;7.0;;;
07.11.2023 16:50;11.0;744.6;761.2;77;Ветер, дующий с востоко-юго-востока;2;;;;Незначительная (10-30%) 1440 м, рассеянная (40-50%) 1500 м;10.0 и более;7.0;;;
07.11.2023 16:20;11.0;744.6;761.2;77;Ветер, дующий с востоко-юго-востока;3;;;;Незначительная (10-30%) 1500 м;10.0 и более;7.0;;;
07.11.2023 15:50;13.0;744.8;761.2;72;Ветер, дующий с востоко-юго-востока;2;;;;Нет существенной облачности;10.0 и более;8.0;;;
07.11.2023 15:20;14.0;744.8;761.2;67;Ветер, дующий с востока;2;;;;Незначительная (10-30%) 1500 м;10.0 и более;8.0;;;
07.11.2023 14:50;13.0;744.8;761.2;72;Ветер, дующий с востока;2;;;;Нет существенной облачности;10.0 и более;8.0;;;
07.11.2023 14:20;13.0;744.8;761.2;67;Ветер, дующий с востоко-юго-востока;2;;;;Незначительная (10-30%) 1260 м;10.0 и более;7.0;;;
07.11.2023 13:50;13.0;745.5;762.0;67;Переменное направление;1;;;;Незначительная (10-30%) 1080 м;10.0 и более;7.0;;;
07.11.2023 13:20;13.0;745.5;762.0;63;Ветер, дующий с востока;2;;;;Нет существенной облачности;10.0 и более;6.0;;;
07.11.2023 12:50;13.0;745.5;762.0;63;Переменное направление;1;;;;Нет существенной облачности;10.0 и более;6.0;;;
07.11.2023 12:20;13.0;745.5;762.0;63;Ветер, дующий с юго-востока;2;;;;Нет существенной облачности;10.0 и более;6.0;;;
07.11.2023 11:50;12.0;746.3;762.8;72;Ветер, дующий с востоко-юго-востока;2;;;;Нет существенной облачности;10.0 и более;7.0;;;
07.11.2023 11:20;13.0;746.3;762.8;67;Ветер, дующий с востоко-юго-востока;2;;;;Нет существенной облачности;10.0 и более;7.0;;;
07.11.2023 10:50;12.0;746.3;762.8;72;Переменное направление;1;;;;Нет существенной облачности;10.0 и более;7.0;;;
07.11.2023 10:20;11.0;746.2;762.8;77;Переменное направление;1;;;;Нет существенной облачности;10.0 и более;7.0;;;
07.11.2023 09:50;10.0;746.1;762.8;76;Ветер, дующий с востока;2;;;;Нет существенной облачности;10.0 и более;6.0;;;
07.11.2023 09:20;10.0;746.1;762.8;82;Переменное направление;1;;;;Нет существенной облачности;10.0 и более;7.0;;;
07.11.2023 08:50;10.0;746.1;762.8;76;Штиль, безветрие;0;;;;Нет существенной облачности;10.0 и более;6.0;;;
07.11.2023 08:20;10.0;746.1;762.8;82;Переменное направление;1;;;;Нет существенной облачности;10.0 и более;7.0;;;
07.11.2023 07:50;6.0;745.9;762.8;93;Переменное направление;1;;;;Нет существенной облачности;10.0 и более;5.0;;;
07.11.2023 07:20;5.0;745.1;762.0;87;Ветер, дующий с юго-юго-востока;2;;;;Нет существенной облачности;10.0 и более;3.0;;;
07.11.2023 06:50;5.0;745.1;762.0;93;Переменное направление;1;;;;Нет существенной облачности;10.0 и более;4.0;;;
07.11.2023 06:20;7.0;745.2;762.0;81;Ветер, дующий с запада;2;;;;Нет существенной облачности;10.0 и более;4.0;;;
07.11.2023 05:50;7.0;745.2;762.0;87;Ветер, дующий с юго-юго-запада;3;;;;Нет существенной облачности;10.0 и более;5.0;;;
07.11.2023 05:20;5.0;745.1;762.0;93;Ветер, дующий с юга;3;;;;Нет существенной облачности;10.0 и более;4.0;;;
07.11.2023 04:50;6.0;745.1;762.0;93;Ветер, дующий с юга;2;;;;Незначительная (10-30%) 1500 м;10.0 и более;5.0;;;
07.11.2023 04:20;6.0;744.3;761.2;93;Ветер, дующий с западо-юго-запада;1;;;;Разорванная (60-90%) 1500 м;10.0 и более;5.0;;;
07.11.2023 03:50;6.0;744.3;761.2;87;Ветер, дующий с юго-юго-востока;2;;;;Разорванная (60-90%) 1500 м;10.0 и более;4.0;;;
07.11.2023 03:20;5.0;744.3;761.2;93;Ветер, дующий с юга;2;;;;Незначительная (10-30%) 960 м, разорванная (60-90%) 1500 м;10.0 и более;4.0;;;
07.11.2023 02:50;5.0;744.3;761.2;93;Ветер, дующий с юго-юго-востока;3;;;;Незначительная (10-30%) 390 м, рассеянная (40-50%) 1500 м;10.0 и более;4.0;;;
07.11.2023 02:20;4.0;744.2;761.2;93;Ветер, дующий с юга;2;;;;Незначительная (10-30%) 360 м, рассеянная (40-50%) 390 м;10.0 и более;3.0;;;
07.11.2023 01:50;5.0;743.6;760.5;93;Ветер, дующий с запада;2;;;;Нет существенной облачности;10.0 и более;4.0;;;
07.11.2023 01:20;4.0;743.5;760.5;93;Ветер, дующий с западо-северо-запада;2;;;;Нет существенной облачности;10.0 и более;3.0;;;
07.11.2023 00:50;5.0;742.8;759.7;87;Ветер, дующий с запада;1;;;;Нет существенной облачности;10.0 и более;3.0;;;
07.11.2023 00:20;5.0;742.8;759.7;93;Переменное направление;1;;Поземный туман;;Нет существенной облачности;10.0 и более;4.0;;;
06.11.2023 23:50;6.0;742.9;759.7;93;Переменное направление;1;;;;Нет существенной облачности;10.0 и более;5.0;;;
06.11.2023 23:20;6.0;742.9;759.7;93;Переменное направление;1;;;;Нет существенной облачности;10.0 и более;5.0;;;
06.11.2023 22:50;6.0;742.9;759.7;93;Переменное направление;1;;;;Нет существенной облачности;10.0 и более;5.0;;;
06.11.2023 22:20;7.0;742.3;759.0;87;Переменное направление;1;;;;Нет существенной облачности;10.0 и более;5.0;;;
06.11.2023 21:50;7.0;742.3;759.0;87;Штиль, безветрие;0;;;;Нет существенной облачности;10.0 и более;5.0;;;
06.11.2023 21:20;8.0;742.3;759.0;87;Переменное направление;1;;;;Нет существенной облачности;10.0 и более;6.0;;;
06.11.2023 20:50;9.0;742.4;759.0;82;Ветер, дующий с юго-юго-запада;2;;;;Нет существенной облачности;10.0 и более;6.0;;;
06.11.2023 20:20;9.0;742.4;759.0;82;Переменное направление;1;;;;Нет существенной облачности;10.0 и более;6.0;;;
06.11.2023 19:50;9.0;742.4;759.0;82;Ветер, дующий с юга;2;;;;Нет существенной облачности;10.0 и более;6.0;;;
06.11.2023 18:50;11.0;742.5;759.0;77;Ветер, дующий с юго-юго-востока;2;;;;Нет существенной облачности;10.0 и более;7.0;;;
06.11.2023 18:20;11.0;741.7;758.2;72;Ветер, дующий с юга;2;;;;Нет существенной облачности;10.0 и более;6.0;;;
06.11.2023 17:50;11.0;741.7;758.2;72;Ветер, дующий с юга;2;;;;Нет существенной облачности;10.0 и более;6.0;;;
06.11.2023 17:20;12.0;741.8;758.2;67;Ветер, дующий с юга;1;;;;Нет существенной облачности;10.0 и более;6.0;;;
06.11.2023 16:50;14.0;741.9;758.2;55;Ветер, дующий с востоко-юго-востока;2;;;;Нет существенной облачности;10.0 и более;5.0;;;
06.11.2023 16:20;15.0;741.9;758.2;48;Переменное направление;1;;;;Нет существенной облачности;10.0 и более;4.0;;;
06.11.2023 15:50;16.0;742.0;758.2;48;Ветер, дующий с западо-северо-запада;2;;;;Нет существенной облачности;10.0 и более;5.0;;;
06.11.2023 15:20;17.0;742.0;758.2;39;Ветер, дующий с запада;2;;;;Нет существенной облачности;10.0 и более;3.0;;;
06.11.2023 14:50;17.0;742.0;758.2;42;Ветер, дующий с западо-северо-запада;3;;;;Нет существенной облачности;10.0 и более;4.0;;;
06.11.2023 14:20;17.0;741.5;757.7;39;Ветер, дующий с запада;4;;;;Нет существенной облачности;10.0 и более;3.0;;;
06.11.2023 13:50;17.0;741.5;757.7;42;Ветер, дующий с западо-северо-запада;5;;;;Нет существенной облачности;10.0 и более;4.0;;;
06.11.2023 13:20;17.0;741.5;757.7;42;Ветер, дующий с запада;5;;;;Нет существенной облачности;10.0 и более;4.0;;;
06.11.2023 12:50;17.0;741.5;757.7;42;Ветер, дующий с запада;6;;;;Нет существенной облачности;10.0 и более;4.0;;;
06.11.2023 12:20;17.0;741.5;757.7;39;Ветер, дующий с западо-северо-запада;7;;;;Нет существенной облачности;10.0 и более;3.0;;;
06.11.2023 11:50;17.0;741.5;757.7;39;Ветер, дующий с запада;7;;;;Нет существенной облачности;10.0 и более;3.0;;;
06.11.2023 11:20;17.0;741.5;757.7;39;Ветер, дующий с запада;6;;;;Нет существенной облачности;10.0 и более;3.0;;;
06.11.2023 10:50;16.0;741.5;757.7;42;Ветер, дующий с запада;6;;;;Незначительная (10-30%) 1500 м;10.0 и более;3.0;;;
06.11.2023 10:20;16.0;741.5;757.7;45;Ветер, дующий с юго-запада;3;;;;Незначительная (10-30%) 1500 м;10.0 и более;4.0;;;
06.11.2023 09:50;15.0;741.4;757.7;51;Ветер, дующий с юга;3;;;;Незначительная (10-30%) 1500 м;10.0 и более;5.0;;;
06.11.2023 09:20;15.0;740.7;756.9;48;Ветер, дующий с запада;3;;;;Незначительная (10-30%) 1350 м;10.0 и более;4.0;;;
06.11.2023 08:50;14.0;740.6;756.9;51;Ветер, дующий с западо-юго-запада;3;;;;Незначительная (10-30%) 1350 м;10.0 и более;4.0;;;
06.11.2023 08:20;13.0;740.5;756.9;51;Ветер, дующий с запада;3;;;;Незначительная (10-30%) 1200 м;10.0 и более;3.0;;;
06.11.2023 07:50;11.0;739.7;756.2;58;Ветер, дующий с запада;2;;;;Незначительная (10-30%) 1200 м;10.0 и более;3.0;;;
06.11.2023 07:20;12.0;739.8;756.2;54;Ветер, дующий с западо-северо-запада;4;;;;Незначительная (10-30%) 1200 м;10.0 и более;3.0;;;
06.11.2023 06:50;11.0;739.7;756.2;58;Ветер, дующий с запада;5;;;;Нет существенной облачности;10.0 и более;3.0;;;
06.11.2023 06:20;11.0;739.0;755.4;58;Ветер, дующий с западо-юго-запада;5;;;;Нет существенной облачности;10.0 и более;3.0;;;
06.11.2023 05:50;10.0;738.9;755.4;62;Ветер, дующий с западо-юго-запада;5;;;;Нет существенной облачности;10.0 и более;3.0;;;
06.11.2023 05:20;10.0;738.1;754.6;62;Ветер, дующий с запада;3;;;;Нет существенной облачности;10.0 и более;3.0;;;
06.11.2023 04:50;11.0;738.2;754.6;58;Ветер, дующий с запада;4;;;;Нет существенной облачности;10.0 и более;3.0;;;
06.11.2023 04:20;11.0;738.2;754.6;58;Ветер, дующий с запада;3;;;;Нет существенной облачности;10.0 и более;3.0;;;
06.11.2023 03:50;11.0;737.5;753.9;58;Ветер, дующий с запада;5;;;;Нет существенной облачности;10.0 и более;3.0;;;
06.11.2023 03:20;11.0;736.7;753.1;58;Ветер, дующий с запада;6;;;;Нет существенной облачности;10.0 и более;3.0;;;
06.11.2023 02:50;12.0;736.8;753.1;58;Ветер, дующий с западо-северо-запада;7;;;;Нет существенной облачности;10.0 и более;4.0;;;
06.11.2023 02:20;12.0;736.0;752.3;58;Ветер, дующий с западо-северо-запада;7;;;;Нет существенной облачности;10.0 и более;4.0;;;
06.11.2023 01:50;12.0;736.0;752.3;58;Ветер, дующий с западо-северо-запада;7;;;;Нет существенной облачности;10.0 и более;4.0;;;
06.11.2023 01:20;13.0;735.4;751.6;55;Ветер, дующий с западо-северо-запада;9;;;;Нет существенной облачности;10.0 и более;4.0;;;
06.11.2023 00:50;13.0;735.4;751.6;55;Ветер, дующий с западо-северо-запада;10;;;;Нет существенной облачности;10.0 и более;4.0;;;
06.11.2023 00:20;13.0;734.6;750.8;55;Ветер, дующий с запада;9;;;;Незначительная (10-30%) 1440 м, рассеянная (40-50%) 1500 м;10.0 и более;4.0;;;
05.11.2023 23:50;14.0;734.6;750.8;51;Ветер, дующий с запада;9;;;;Разорванная (60-90%) 1500 м;10.0 и более;4.0;;;
05.11.2023 23:20;14.0;733.9;750.1;51;Ветер, дующий с запада;9;;;;Незначительная (10-30%) 1440 м, рассеянная (40-50%) 1500 м;10.0 и более;4.0;;;
05.11.2023 22:50;14.0;733.2;749.3;51;Ветер, дующий с запада;10;15;;;Нет существенной облачности;10.0 и более;4.0;;;
05.11.2023 22:20;13.0;733.1;749.3;59;Ветер, дующий с запада;9;;;;Незначительная (10-30%) 1500 м;10.0 и более;5.0;;;
05.11.2023 21:50;13.0;732.3;748.5;59;Ветер, дующий с западо-юго-запада;9;;;;Нет существенной облачности;10.0 и более;5.0;;;
05.11.2023 21:20;12.0;731.6;747.8;63;Ветер, дующий с западо-юго-запада;7;;;;Нет существенной облачности;10.0 и более;5.0;;;
05.11.2023 20:50;13.0;730.9;747.0;59;Ветер, дующий с западо-юго-запада;7;;;;Нет существенной облачности;10.0 и более;5.0;;;
05.11.2023 20:20;11.0;730.7;747.0;72;Ветер, дующий с западо-юго-запада;3;;;;Нет существенной облачности;10.0 и более;6.0;;;
05.11.2023 19:50;11.0;730.1;746.3;77;Ветер, дующий с юго-запада;3;;;;Нет существенной облачности;10.0 и более;7.0;;;
05.11.2023 19:20;10.0;730.0;746.3;88;Ветер, дующий с юго-юго-запада;4;;;;Нет существенной облачности;10.0 и более;8.0;;;
05.11.2023 18:50;8.0;729.1;745.5;93;Ветер, дующий с юга;3;;;;Нет существенной облачности;10.0 и более;7.0;;;
05.11.2023 18:20;10.0;728.4;744.7;82;Ветер, дующий с юга;3;;;;Нет существенной облачности;10.0 и более;7.0;;;
05.11.2023 17:50;11.0;728.5;744.7;82;Ветер, дующий с юго-юго-востока;2;;;;Нет существенной облачности;10.0 и более;8.0;;;
05.11.2023 17:20;12.0;727.9;744.0;82;Ветер, дующий с юго-юго-востока;3;;;;Нет существенной облачности;10.0 и более;9.0;;;
05.11.2023 16:50;12.0;728.6;744.7;82;Ветер, дующий с юго-юго-запада;2;;;;Незначительная (10-30%) 1140 м;10.0 и более;9.0;;;
05.11.2023 16:20;12.0;727.1;743.2;82;Ветер, дующий с юго-юго-востока;2;;;;Нет существенной облачности;10.0 и более;9.0;;;
05.11.2023 15:50;13.0;727.1;743.2;77;Ветер, дующий с юго-востока;2;;;;Нет существенной облачности;10.0 и более;9.0;;;
05.11.2023 15:20;13.0;726.4;742.4;77;Ветер, дующий с востока;3;;;;Нет существенной облачности;10.0 и более;9.0;;;
05.11.2023 14:50;14.0;726.4;742.4;67;Ветер, дующий с юго-востока;3;;;;Нет существенной облачности;10.0 и более;8.0;;;
05.11.2023 14:20;15.0;726.0;741.9;59;Ветер, дующий с юга;3;;;;Нет существенной облачности;10.0 и более;7.0;;;
05.11.2023 13:50;14.0;725.9;741.9;67;Ветер, дующий с юга;3;;;;Незначительная (10-30%) 1500 м;10.0 и более;8.0;;;
05.11.2023 13:20;14.0;725.2;741.2;67;Ветер, дующий с юга;4;;;;Незначительная (10-30%) 1500 м;10.0 и более;8.0;;;
05.11.2023 12:50;13.0;724.4;740.4;67;Ветер, дующий с юго-юго-запада;3;;;;Незначительная (10-30%) 1500 м;10.0 и более;7.0;;;
05.11.2023 12:20;13.0;724.4;740.4;67;Ветер, дующий с юга;2;;;;Незначительная (10-30%) 1200 м;10.0 и более;7.0;;;
05.11.2023 11:50;12.0;724.3;740.4;77;Ветер, дующий с юго-юго-запада;2;;;;Незначительная (10-30%) 270 м;10.0 и более;8.0;;;
05.11.2023 11:20;11.0;724.3;740.4;82;Ветер, дующий с западо-юго-запада;3;;;;Незначительная (10-30%) 210 м;10.0 и более;8.0;;;
05.11.2023 10:50;10.0;724.2;740.4;88;Ветер, дующий с западо-юго-запада;2;;;;Незначительная (10-30%) 180 м, рассеянная (40-50%) 240 м;10.0 и более;8.0;;;
05.11.2023 10:20;10.0;724.2;740.4;88;Ветер, дующий с юго-запада;3;;;;Незначительная (10-30%) 90 м, рассеянная (40-50%) 180 м;10.0 и более;8.0;;;
05.11.2023 09:50;9.0;724.2;740.4;94;Ветер, дующий с юго-востока;3;;;;Рассеянная (40-50%) 90 м;10.0 и более;8.0;;;
05.11.2023 09:20;9.0;723.4;739.6;100;Ветер, дующий с юго-востока;2;;Слабый(ая)(ые) дождь;;Незначительная (10-30%) 60 м, разорванная (60-90%) 1500 м;10.0 и более;9.0;;;
05.11.2023 08:50;9.0;725.0;741.2;94;Ветер, дующий с юга;2;;Слабый(ая)(ые) дождь;;Незначительная (10-30%) 60 м, разорванная (60-90%) 90 м;10.0 и более;8.0;;;
05.11.2023 08:20;9.0;723.4;739.6;94;Ветер, дующий с северо-северо-запада;2;;Слабый(ая)(ые) дождь;;"<span class=h_0"" style=""display: inline";">Незначительная (10-30%) менее 30 м , разорванная (60-90%) 90 м</span><span class=h_1"" style=""display: none";>Незначительная (10-30%) менее 98,4 футов , разорванная (60-90%) 90 м</span>;10.0 и более;8.0;
05.11.2023 07:50;8.0;724.9;741.2;100;Ветер, дующий с юга;2;;Слабый(ая)(ые) дождь;Дождь, ливень (ливни), дождь;Рассеянная (40-50%) 60 м, разорванная (60-90%) 240 м;10.0 и более;8.0;;;
05.11.2023 07:20;8.0;724.9;741.2;100;Ветер, дующий с юга;3;;Сильный(ая)(ые) дождь;Дождь;Незначительная (10-30%) 90 м, рассеянная (40-50%) 900 м, разорванная (60-90%) 1260 м;5.0;8.0;;;
05.11.2023 06:50;9.0;725.0;741.2;94;Ветер, дующий с юго-востока;3;;Дождь;;Незначительная (10-30%) 900 м, рассеянная (40-50%) 1140 м, разорванная (60-90%) 1500 м;10.0 и более;8.0;;;
05.11.2023 06:20;9.0;725.0;741.2;94;Ветер, дующий с юго-юго-востока;3;;Дождь;;Незначительная (10-30%) 780 м, рассеянная (40-50%) 960 м, разорванная (60-90%) 1440 м;9.0;8.0;;;
05.11.2023 05:50;9.0;725.0;741.2;94;Ветер, дующий с юга;5;;Дождь;;Незначительная (10-30%) 840 м, разорванная (60-90%) 1500 м;10.0 и более;8.0;;;
05.11.2023 05:20;9.0;725.0;741.2;94;Ветер, дующий с юга;9;;Дождь;;Незначительная (10-30%) 1080 м, разорванная (60-90%) 1500 м;10.0 и более;8.0;;;
05.11.2023 04:50;9.0;725.0;741.2;87;Ветер, дующий с юга;8;;Дождь;Дождь;Незначительная (10-30%) 1140 м;10.0 и более;7.0;;;
05.11.2023 04:20;9.0;725.6;741.9;87;Ветер, дующий с юга;8;;Слабый(ая)(ые) дождь;;Нет существенной облачности;10.0 и более;7.0;;;
05.11.2023 03:50;9.0;725.6;741.9;82;Ветер, дующий с юго-юго-востока;7;;Слабый(ая)(ые) морось;;Нет существенной облачности;10.0 и более;6.0;;;
05.11.2023 03:20;9.0;725.6;741.9;82;Ветер, дующий с юга;7;;Слабый(ая)(ые) морось;;Нет существенной облачности;10.0 и более;6.0;;;
05.11.2023 02:50;9.0;725.6;741.9;82;Ветер, дующий с юга;7;;Слабый(ая)(ые) морось;;Незначительная (10-30%) 1500 м;10.0 и более;6.0;;;
05.11.2023 02:20;9.0;726.1;742.4;82;Ветер, дующий с юго-юго-востока;5;;Слабый(ая)(ые) дождь;;Незначительная (10-30%) 1500 м;10.0 и более;6.0;;;
05.11.2023 01:50;9.0;726.9;743.2;82;Ветер, дующий с юга;7;;Слабый(ая)(ые) дождь;;Незначительная (10-30%) 1500 м;10.0 и более;6.0;;;
05.11.2023 01:20;9.0;726.1;742.4;82;Ветер, дующий с юго-юго-востока;4;;Слабый(ая)(ые) дождь;;Незначительная (10-30%) 1500 м;10.0 и более;6.0;;;
05.11.2023 00:50;8.0;726.1;742.4;87;Ветер, дующий с юго-юго-востока;5;;;;Нет существенной облачности;10.0 и более;6.0;;;
05.11.2023 00:20;8.0;726.9;743.2;87;Ветер, дующий с юга;5;;Слабый(ая)(ые) морось;;Незначительная (10-30%) 1500 м;10.0 и более;6.0;;;
04.11.2023 23:50;8.0;726.9;743.2;87;Ветер, дующий с юга;3;;Слабый(ая)(ые) дождь;;Незначительная (10-30%) 1380 м;10.0 и более;6.0;;;
04.11.2023 23:20;8.0;726.9;743.2;87;Ветер, дующий с юго-востока;2;;;;Нет существенной облачности;10.0 и более;6.0;;;
04.11.2023 22:50;7.0;726.8;743.2;93;Ветер, дующий с юго-юго-востока;4;;;;Нет существенной облачности;10.0 и более;6.0;;;
04.11.2023 22:20;7.0;726.8;743.2;93;Ветер, дующий с юго-юго-востока;6;;;;Нет существенной облачности;10.0 и более;6.0;;;
04.11.2023 21:50;7.0;726.0;742.4;93;Ветер, дующий с юго-юго-востока;7;;;;Нет существенной облачности;10.0 и более;6.0;;;
04.11.2023 21:20;7.0;726.8;743.2;87;Ветер, дующий с юго-юго-востока;7;;;;Нет существенной облачности;10.0 и более;5.0;;;
04.11.2023 20:50;7.0;726.8;743.2;87;Ветер, дующий с юго-юго-востока;7;;;;Нет существенной облачности;10.0 и более;5.0;;;
04.11.2023 20:20;7.0;726.8;743.2;87;Ветер, дующий с юго-юго-востока;8;;;;Нет существенной облачности;10.0 и более;5.0;;;
04.11.2023 19:50;7.0;726.8;743.2;87;Ветер, дующий с юго-юго-востока;8;;;;Нет существенной облачности;10.0 и более;5.0;;;
04.11.2023 19:20;7.0;727.6;744.0;87;Ветер, дующий с юго-юго-востока;9;;;;Нет существенной облачности;10.0 и более;5.0;;;
04.11.2023 18:50;8.0;726.9;743.2;82;Ветер, дующий с юго-юго-востока;10;;;;Нет существенной облачности;10.0 и более;5.0;;;
04.11.2023 18:20;8.0;727.6;744.0;82;Ветер, дующий с юго-юго-востока;8;;;;Нет существенной облачности;10.0 и более;5.0;;;
